iter	Passed	Remaining
415	2823	3963
416	2829	3955
417	2835	3948
418	2841	3940
419	2848	3933
420	2854	3925
421	2860	3917
422	2866	3910
423	2874	3904
424	2880	3897
425	2886	3889
426	2892	3882
427	2899	3875
428	2906	3868
429	2912	3860
430	2918	3853
431	2924	3845
432	2931	3838
433	2938	3831
434	2944	3823
435	2950	3816
436	2956	3808
437	2962	3800
438	2968	3793
439	2974	3785
440	2980	3777
441	2986	3769
442	2992	3762
443	2998	3754
444	3003	3746
445	3010	3739
446	3016	3732
447	3023	3725
448	3030	3718
449	3036	3710
450	3042	3703
451	3048	3696
452	3055	3689
453	3061	3682
454	3067	3674
455	3074	3667
456	3080	3660
457	3086	3652
458	3093	3646
459	3099	3638
460	3105	3630
461	3111	3623
462	3118	3616
463	3124	3609
464	3130	3602
465	3136	3594
466	3142	3587
467	3149	3580
468	3155	3572
469	3161	3565
470	3168	3558
471	3174	3551
472	3181	3544
473	3187	3537
474	3193	3530
475	3200	3522
476	3206	3515
477	3212	3508
478	3219	3502
479	3226	3494
480	3232	3487
481	3238	3480
482	3244	3473
483	3251	3466
484	3257	3458
485	3263	3451
486	3269	3444
487	3276	3437
488	3282	3430
489	3289	3423
490	3295	3416
491	3301	3409
492	3308	3401
493	3314	3394
494	3320	3387
495	3326	3380
496	3332	3373
497	3339	3366
498	3346	3359
499	3352	3352
500	3359	3345
501	3364	3338
502	3371	3331
503	3377	3323
504	3383	3316
505	3389	3308
506	3395	3301
507	3401	3294
508	3408	3287
509	3414	3280
510	3420	3273
511	3426	3265
512	3433	3259
513	3440	3252
514	3447	3246
515	3453	3238
516	3459	3231
517	3465	3225
518	3473	3218
519	3479	3211
520	3485	3204
521	3492	3197
522	3498	3190
523	3505	3183
524	3511	3176
525	3517	3170
526	3524	3163
527	3530	3155
528	3537	3149
529	3543	3142
530	3551	3136
531	3557	3129
532	3563	3122
533	3570	3115
534	3576	3108
535	3582	3101
536	3589	3094
537	3595	3087
538	3602	3081
539	3608	3074
540	3614	3067
541	3621	3059
542	3627	3053
543	3633	3046
544	3640	3039
545	3646	3032
546	3653	3025
547	3660	3018
548	3666	3011
549	3672	3004
550	3678	2997
551	3684	2990
552	3691	2983
553	3697	2976
554	3703	2969
555	3710	2962
556	3716	2955
557	3722	2948
558	3729	2941
559	3735	2935
560	3741	2928
561	3747	2920
562	3754	2914
563	3761	2907
564	3767	2900
565	3774	2894
566	3780	2887
567	3786	2880
568	3792	2873
569	3799	2865
570	3805	2859
571	3811	2852
572	3818	2845
573	3824	2838
574	3830	2831
575	3837	2824
576	3843	2817
577	3849	2810
578	3856	2803
579	3862	2796
580	3869	2790
581	3875	2783
582	3882	2776
583	3888	2769
584	3895	2763
585	3901	2756
586	3908	2749
587	3914	2743
588	3921	2736
589	3928	2729
590	3934	2723
591	3940	2716
592	3947	2709
593	3953	2701
594	3959	2694
595	3965	2687
596	3971	2681
597	3977	2674
598	3984	2667
599	3990	2660
600	3996	2653
601	4003	2646
602	4009	2639
603	4015	2632
604	4021	2625
605	4027	2618
606	4034	2612
607	4040	2604
608	4046	2597
609	4052	2591
610	4059	2584
611	4065	2577
612	4071	2570
613	4078	2563
614	4084	2557
615	4090	2550
616	4096	2543
617	4103	2536
618	4109	2529
619	4114	2522
620	4121	2515
621	4127	2508
622	4134	2501
623	4140	2495
624	4147	2488
625	4153	2481
626	4159	2474
627	4166	2467
628	4172	2460
629	4178	2454
630	4184	2446
631	4190	2440
632	4196	2433
633	4202	2426
634	4208	2419
635	4214	2412
636	4221	2405
637	4249	2411
638	4262	2408
639	4269	2401
640	4275	2394
641	4282	2387
642	4288	2381
643	4294	2374
644	4301	2367
645	4307	2360
646	4314	2354
647	4320	2347
648	4328	2340
649	4334	2334
650	4341	2327
651	4348	2320
652	4354	2313
653	4360	2306
654	4367	2300
655	4373	2293
656	4380	2286
657	4386	2280
658	4393	2273
659	4400	2266
660	4407	2260
661	4413	2253
662	4421	2247
663	4427	2240
664	4433	2233
665	4440	2226
666	4447	2220
667	4454	2213
668	4460	2207
669	4467	2200
670	4474	2193
671	4480	2187
672	4487	2180
673	4493	2173
674	4500	2167
675	4507	2160
676	4513	2153
677	4520	2146
678	4527	2140
679	4533	2133
680	4539	2126
681	4546	2119
682	4552	2112
683	4558	2106
684	4565	2099
685	4571	2092
686	4578	2085
687	4584	2079
688	4590	2072
689	4597	2065
690	4603	2058
691	4609	2051
692	4615	2044
693	4622	2038
694	4629	2031
695	4637	2025
696	4644	2019
697	4651	2012
698	4657	2005
699	4663	1998
700	4669	1991
701	4675	1984
702	4682	1978
703	4688	1971
704	4694	1964
705	4701	1957
706	4707	1950
707	4713	1943
708	4720	1937
709	4727	1930
710	4734	1924
711	4740	1917
712	4746	1910
713	4753	1903
714	4759	1897
715	4766	1890
716	4772	1883
717	4778	1876
718	4785	1870
719	4792	1863
720	4798	1856
721	4805	1850
722	4811	1843
723	4817	1836
724	4823	1829
725	4830	1823
726	4836	1816
727	4843	1809
728	4850	1802
729	4856	1796
730	4862	1789
731	4869	1782
732	4876	1776
733	4882	1769
734	4888	1762
735	4894	1755
736	4901	1749
737	4907	1742
738	4913	1735
739	4920	1728
740	4926	1722
741	4932	1715
742	4938	1708
743	4945	1701
744	4951	1694
745	4957	1688
746	4964	1681
747	4970	1674
748	4976	1667
749	4982	1660
750	4988	1653
751	4994	1647
752	5000	1640
753	5007	1633
754	5013	1626
755	5019	1620
756	5025	1613
757	5031	1606
758	5037	1599
759	5044	1592
760	5050	1586
761	5056	1579
762	5062	1572
763	5068	1565
764	5074	1558
765	5080	1552
766	5087	1545
767	5093	1538
768	5100	1532
769	5106	1525
770	5112	1518
771	5118	1511
772	5124	1504
773	5131	1498
774	5138	1491
775	5144	1485
776	5151	1478
777	5157	1471
778	5163	1464
779	5190	1463
780	5202	1458
781	5209	1452
782	5216	1445
783	5223	1439
784	5229	1432
785	5236	1425
786	5242	1418
787	5249	1412
788	5256	1405
789	5262	1398
790	5269	1392
791	5276	1385
792	5282	1379
793	5288	1372
794	5294	1365
795	5300	1358
796	5307	1351
797	5313	1345
798	5320	1338
799	5326	1331
800	5333	1324
801	5339	1318
802	5345	1311
803	5351	1304
804	5357	1297
805	5364	1291
806	5371	1284
807	5378	1277
808	5383	1271
809	5390	1264
810	5396	1257
811	5401	1250
812	5408	1243
813	5414	1237
814	5420	1230
815	5426	1223
816	5432	1216
817	5438	1209
818	5444	1203
819	5450	1196
820	5456	1189
821	5462	1182
822	5468	1176
823	5475	1169
824	5481	1162
825	5487	1156
826	5493	1149
827	5500	1142
828	5507	1135
829	5513	1129
830	5519	1122
831	5525	1115
832	5531	1108
833	5537	1102
834	5543	1095
835	5549	1088
836	5555	1081
837	5562	1075
838	5568	1068
839	5574	1061
840	5580	1055
841	5586	1048
842	5592	1041
843	5598	1034
844	5605	1028
845	5612	1021
846	5618	1014
847	5624	1008
848	5631	1001
849	5637	994
850	5643	988
851	5649	981
852	5655	974
853	5662	967
854	5667	961
855	5674	954
856	5680	947
857	5686	941
858	5692	934
859	5698	927
860	5704	920
861	5711	914
862	5717	907
863	5723	900
864	5729	894
865	5736	887
866	5742	880
867	5749	874
868	5755	867
869	5761	860
870	5767	854
871	5774	847
872	5780	840
873	5786	834
874	5792	827
875	5799	820
876	5805	814
877	5811	807
878	5817	800
879	5824	794
880	5830	787
881	5837	780
882	5843	774
883	5850	767
884	5857	761
885	5863	754
886	5869	747
887	5876	741
888	5882	734
889	5889	727
890	5895	721
891	5901	714
892	5908	707
893	5915	701
894	5921	694
895	5928	688
896	5934	681
897	5941	674
898	5947	668
899	5954	661
900	5960	654
901	5966	648
902	5972	641
903	5978	634
904	5984	628
905	5991	621
906	5997	614
907	6004	608
908	6010	601
909	6017	595
910	6023	588
911	6029	581
912	6036	575
913	6042	568
914	6049	561
915	6056	555
916	6062	548
917	6068	542
918	6075	535
919	6081	528
920	6088	522
921	6094	515
922	6100	508
923	6106	502
924	6113	495
925	6119	489
926	6125	482
927	6132	475
928	6138	469
929	6144	462
930	6150	455
931	6157	449
932	6163	442
933	6169	435
934	6175	429
935	6182	422
936	6188	416
937	6194	409
938	6200	402
939	6206	396
940	6212	389
941	6218	382
942	6224	376
943	6230	369
944	6236	362
945	6242	356
946	6249	349
947	6255	343
948	6262	336
949	6268	329
950	6274	323
951	6280	316
952	6286	310
953	6292	303
954	6299	296
955	6305	290
956	6311	283
957	6317	276
958	6324	270
959	6330	263
960	6336	257
961	6343	250
962	6349	243
963	6356	237
964	6362	230
965	6368	224
966	6375	217
967	6381	210
968	6387	204
969	6393	197
970	6400	191
971	6406	184
972	6412	177
973	6418	171
974	6424	164
975	6431	158
976	6437	151
977	6443	144
978	6450	138
979	6456	131
980	6463	125
981	6469	118
982	6476	112
983	6482	105
984	6489	98
985	6495	92
986	6502	85
987	6508	79
988	6515	72
989	6521	65
990	6528	59
991	6534	52
992	6541	46
993	6547	39
994	6553	32
995	6560	26
996	6566	19
997	6572	13
998	6578	6
999	6585	0
