iter	RMSE
245	4238.401945
246	4237.226029
247	4236.331257
248	4235.659062
249	4233.043578
250	4230.966604
251	4230.103807
252	4229.439275
253	4228.40521
254	4227.62633
255	4227.139649
256	4226.310138
257	4225.188966
258	4224.669556
259	4224.431562
260	4223.149882
261	4222.390039
262	4221.878853
263	4219.806817
264	4218.807466
265	4217.287726
266	4215.818872
267	4214.352181
268	4213.48168
269	4212.755683
270	4212.311271
271	4211.336955
272	4210.613128
273	4209.592392
274	4208.127762
275	4207.741402
276	4206.410429
277	4205.946027
278	4205.148817
279	4204.639522
280	4203.961831
281	4203.112361
282	4201.967911
283	4201.578897
284	4199.926919
285	4195.187067
286	4192.778181
287	4191.029169
288	4188.000024
289	4187.661822
290	4184.710121
291	4184.353119
292	4182.334397
293	4180.522261
294	4179.845421
295	4178.85758
296	4178.624362
297	4176.197007
298	4174.654373
299	4173.862836
300	4173.142935
301	4171.516162
302	4171.05642
303	4168.831866
304	4166.981502
305	4166.531083
306	4164.934906
307	4164.087844
308	4163.762444
309	4163.528102
310	4162.799927
311	4162.33494
312	4161.85906
313	4161.016121
314	4160.320426
315	4159.932721
316	4159.287487
317	4158.544356
318	4158.350591
319	4156.184284
320	4155.492973
321	4154.532197
322	4154.231826
323	4152.278925
324	4151.867674
325	4151.233171
326	4150.728123
327	4150.009293
328	4149.774997
329	4148.624563
330	4147.547869
331	4147.03712
332	4146.727453
333	4145.646544
334	4144.375913
335	4144.008929
336	4142.583789
337	4141.792405
338	4141.255587
339	4140.953217
340	4139.76234
341	4138.522899
342	4138.139169
343	4137.485776
344	4136.407841
345	4136.15279
346	4135.527582
347	4134.137338
348	4132.621753
349	4131.078057
350	4130.415982
351	4129.064046
352	4127.845821
353	4126.999519
354	4125.914146
355	4125.163928
356	4124.560372
357	4123.676248
358	4123.244928
359	4122.283176
360	4121.686579
361	4120.673534
362	4120.232024
363	4119.895095
364	4119.158562
365	4118.318657
366	4118.029336
367	4117.643451
368	4116.981144
369	4116.201497
370	4115.614732
371	4114.379575
372	4112.950675
373	4112.318336
374	4112.1762
375	4111.954903
376	4110.838809
377	4109.859665
378	4109.263916
379	4108.484458
380	4108.094809
381	4107.753812
382	4107.214732
383	4106.745048
384	4105.88558
385	4105.60235
386	4105.153212
387	4104.807042
388	4103.971559
389	4103.36611
390	4102.263317
391	4101.92215
392	4101.504502
393	4099.735701
394	4099.020432
395	4098.520527
396	4098.044637
397	4097.640075
398	4097.158432
399	4096.431629
400	4096.248189
401	4095.763926
402	4095.604503
403	4094.889001
404	4094.594762
405	4094.381215
406	4093.577038
407	4093.118721
408	4092.471087
409	4090.589476
410	4089.683261
411	4088.540271
412	4087.895391
413	4087.409494
414	4086.835389
415	4086.142653
416	4085.63901
417	4084.990699
418	4084.59021
419	4083.052244
420	4081.961209
421	4081.513171
422	4080.551922
423	4079.567293
424	4079.248466
425	4078.957486
426	4078.523364
427	4078.074899
428	4077.590187
429	4076.995236
430	4076.567319
431	4075.790607
432	4075.464681
433	4074.969031
434	4074.558547
435	4073.965978
436	4073.170402
437	4072.483227
438	4072.14986
439	4071.517395
440	4071.136854
441	4070.548161
442	4070.213629
443	4069.682282
444	4069.272235
445	4068.823495
446	4068.405356
447	4068.092069
448	4067.974578
449	4067.503005
450	4066.824032
451	4065.51275
452	4065.163184
453	4064.941702
454	4064.162054
455	4063.8285
456	4063.208265
457	4062.791459
458	4061.896574
459	4061.570761
460	4061.41828
461	4061.295921
462	4060.876891
463	4060.501532
464	4059.870373
465	4059.436434
466	4059.246059
467	4058.680207
468	4057.813178
469	4057.507883
470	4056.897457
471	4056.492514
472	4056.006372
473	4055.813019
474	4055.271934
475	4054.422308
476	4053.928629
477	4053.006286
478	4052.532148
479	4052.167985
480	4051.887284
481	4051.515016
482	4051.236893
483	4050.779554
484	4050.489955
485	4050.04018
486	4049.480181
487	4048.901412
488	4048.487767
489	4048.166868
490	4047.800488
491	4046.364574
492	4045.314878
493	4044.678466
494	4044.133891
495	4043.820879
496	4043.532361
497	4042.800084
498	4042.324405
499	4041.969118
500	4041.776271
501	4041.346207
502	4040.923304
503	4040.51518
504	4040.202809
505	4039.881998
506	4039.797975
507	4039.351879
508	4038.974676
509	4038.608117
510	4037.944044
511	4037.677104
512	4037.399472
513	4036.80423
514	4036.44067
515	4036.059658
516	4035.739203
517	4035.116113
518	4034.614856
519	4034.317769
520	4033.774064
521	4033.446806
522	4032.999418
523	4032.802816
524	4032.388321
525	4031.948221
526	4031.094714
527	4030.591705
528	4030.306436
529	4029.690523
530	4029.293463
531	4029.065211
532	4028.494021
533	4028.29022
534	4028.116183
535	4027.71002
536	4027.482502
537	4027.264049
538	4026.939916
539	4026.704843
540	4026.525351
541	4026.166029
542	4025.331219
543	4024.867991
544	4024.765561
545	4024.488503
546	4024.149953
547	4023.835994
548	4023.583395
549	4022.970662
550	4022.69531
551	4022.044431
552	4020.748661
553	4020.461938
554	4020.148771
555	4019.76714
556	4019.465222
557	4018.9338
558	4018.706981
559	4018.470523
560	4017.688779
561	4017.179037
562	4016.942423
563	4016.639978
564	4016.053306
565	4014.549352
566	4014.370745
567	4013.946386
568	4013.510198
569	4013.358965
570	4012.946141
571	4012.676809
572	4012.410674
573	4012.273039
574	4011.864695
575	4011.340649
576	4010.747408
577	4010.588574
578	4010.412474
579	4009.634294
580	4009.006222
581	4008.358633
582	4007.912613
583	4007.169751
584	4006.906448
585	4006.684589
586	4006.369719
587	4006.207319
588	4005.47262
589	4004.70781
590	4004.229764
591	4003.783506
592	4003.414026
593	4003.105906
594	4002.743637
595	4002.540789
596	4002.405999
597	4002.115811
598	4001.702299
599	4001.446671
600	4001.210144
601	4000.946334
602	4000.634239
603	4000.193512
604	3998.836657
605	3998.384079
606	3997.961832
607	3997.56672
608	3997.490152
609	3997.310721
610	3996.84807
611	3996.615765
612	3996.373839
613	3995.957245
614	3995.654063
615	3995.391543
616	3994.581647
617	3994.346861
618	3993.504949
619	3993.154349
620	3992.779021
621	3992.607444
622	3992.001304
623	3991.77386
624	3991.499566
625	3990.817076
626	3990.518271
627	3990.137381
628	3989.901252
629	3989.734773
630	3989.526665
631	3989.137625
632	3988.961605
633	3988.643657
634	3988.09412
635	3987.913164
636	3987.584304
637	3987.227546
638	3987.056934
639	3986.865993
640	3986.593612
641	3986.418443
642	3985.648812
643	3985.563773
644	3985.182379
645	3984.731159
646	3984.150118
647	3983.89239
648	3983.81797
649	3983.274459
650	3983.009932
651	3982.340295
652	3982.063555
653	3981.751936
654	3981.279916
655	3980.979078
656	3980.028539
657	3979.323882
658	3979.067258
659	3978.744912
660	3978.562911
661	3978.249466
662	3976.891598
663	3976.753513
664	3976.462045
665	3976.228294
666	3975.212795
667	3974.699782
668	3974.144184
669	3973.071403
670	3972.08768
671	3971.518122
672	3971.246998
673	3970.846797
674	3970.688183
675	3970.49059
676	3970.149945
677	3969.812613
678	3969.478188
679	3969.289111
680	3969.095972
681	3968.343089
682	3967.005677
683	3966.551526
684	3966.08263
685	3965.584462
686	3965.379225
687	3964.925408
688	3964.811273
689	3964.614047
690	3964.13062
691	3963.033168
692	3962.688331
693	3962.58218
694	3962.421994
695	3962.091636
696	3961.818108
697	3961.392373
698	3960.912733
699	3960.730465
700	3960.59311
701	3960.309139
702	3960.04061
703	3959.824304
704	3959.709736
705	3959.092093
706	3958.895653
707	3958.471214
708	3958.147065
709	3957.666521
710	3957.179517
711	3956.897718
712	3956.576578
713	3956.204403
714	3955.291428
715	3955.034676
716	3954.871538
717	3954.703924
718	3954.326349
719	3953.216224
720	3953.017967
721	3952.847698
722	3952.656613
723	3952.441143
724	3952.267181
725	3952.009857
726	3951.616725
727	3951.395844
728	3950.974506
729	3950.776486
730	3950.579502
731	3950.245626
732	3949.904445
733	3949.547421
734	3949.266955
735	3948.865222
736	3948.107029
737	3947.92834
738	3947.459809
739	3947.043236
740	3946.822197
741	3946.373591
742	3945.861891
743	3945.579275
744	3945.349103
745	3945.025986
746	3944.854589
747	3944.368015
748	3943.820901
749	3943.591991
750	3943.406801
751	3943.120517
752	3942.959707
753	3942.750979
754	3942.507574
755	3942.329637
756	3942.093455
757	3941.734572
758	3941.504941
759	3941.358437
760	3941.008232
761	3940.804206
762	3940.536074
763	3940.410235
764	3940.269118
765	3939.731062
766	3939.472036
767	3939.343105
768	3939.155481
769	3939.020927
770	3938.824103
771	3938.641145
772	3938.459931
773	3938.351134
774	3938.044339
775	3937.834944
776	3937.569863
777	3937.388443
778	3937.099871
779	3936.969612
780	3936.598147
781	3936.157085
782	3936.023593
783	3934.841833
784	3934.63738
785	3934.296094
786	3933.865793
787	3933.600098
788	3933.368023
789	3933.234591
790	3932.973268
791	3932.810551
792	3932.630058
793	3932.471567
794	3932.306578
795	3932.15167
796	3931.87941
797	3931.675088
798	3931.221831
799	3930.97339
800	3930.790293
801	3930.521723
802	3930.380103
803	3929.932528
804	3929.660392
805	3929.522908
806	3929.22218
807	3929.063452
808	3928.898038
809	3928.557397
810	3928.40296
811	3928.280783
812	3927.822766
813	3927.524455
814	3927.38149
815	3927.293605
816	3927.063995
817	3926.897287
818	3926.774751
819	3926.57002
820	3926.291191
821	3925.94978
822	3925.733031
823	3925.60219
824	3925.204331
825	3924.71134
826	3924.501315
827	3924.197277
828	3923.9483
829	3923.663632
830	3923.432246
831	3923.341312
832	3923.043507
833	3922.824799
834	3922.551562
835	3922.354696
836	3922.085368
837	3921.985357
838	3921.595762
839	3920.949733
840	3920.470427
841	3919.861799
842	3919.418936
843	3919.260879
844	3919.185818
845	3918.910239
846	3918.518616
847	3918.1662
848	3917.97536
849	3917.778231
850	3917.425492
851	3917.264223
852	3916.962827
853	3916.813801
854	3916.466831
855	3915.755845
856	3915.60412
857	3915.243223
858	3914.993578
859	3914.671752
860	3914.528257
861	3914.313427
862	3914.194701
863	3914.070552
864	3913.917509
865	3913.633789
866	3913.307384
867	3912.950476
868	3912.766939
869	3912.657376
870	3911.92828
871	3911.726596
872	3911.568147
873	3911.242968
874	3911.009545
875	3910.862484
876	3910.663314
877	3910.150883
878	3909.859768
879	3909.592996
880	3909.504975
881	3909.262804
882	3908.879949
883	3908.614313
884	3908.418127
885	3907.810253
886	3907.597363
887	3907.384564
888	3907.029492
889	3906.778763
890	3906.662698
891	3906.297258
892	3906.063023
893	3905.771136
894	3905.661701
895	3905.376322
896	3904.987962
897	3904.869684
898	3904.66103
899	3904.457643
900	3904.05057
901	3903.979078
902	3903.724275
903	3903.4377
904	3903.26608
905	3902.940435
906	3902.858033
907	3902.534084
908	3901.479599
909	3901.280965
910	3900.762335
911	3900.326763
912	3900.21874
913	3900.127046
914	3899.910553
915	3899.736315
916	3899.644997
917	3899.547216
918	3899.402536
919	3898.621364
920	3898.416688
921	3898.236415
922	3897.997294
923	3897.613037
924	3897.407283
925	3897.191332
926	3896.85457
927	3896.526076
928	3896.127713
929	3895.84701
930	3895.58523
931	3895.258988
932	3895.014198
933	3894.894984
934	3894.71248
935	3894.433219
936	3894.318822
937	3894.213023
938	3894.091986
939	3894.02058
940	3893.852015
941	3893.518105
942	3893.37909
943	3893.148626
944	3893.047914
945	3892.906165
946	3892.135098
947	3891.924495
948	3891.814366
949	3891.704305
950	3891.528972
951	3891.241321
952	3890.881135
953	3890.711464
954	3890.416788
955	3890.189436
956	3889.618862
957	3889.484327
958	3889.1346
959	3888.808033
960	3888.583018
961	3888.255432
962	3887.98753
963	3887.932773
964	3887.689825
965	3887.451338
966	3887.291193
967	3886.941877
968	3886.881732
969	3886.683369
970	3886.496347
971	3886.218274
972	3885.953539
973	3885.856129
974	3885.564191
975	3885.271377
976	3885.134315
977	3884.569623
978	3884.45703
979	3884.274799
980	3883.860677
981	3883.688857
982	3883.554414
983	3883.312068
984	3883.031269
985	3882.819468
986	3882.566773
987	3882.404779
988	3882.151418
989	3881.998223
990	3881.827211
991	3881.426548
992	3881.333106
993	3880.825727
994	3880.681288
995	3880.570216
996	3880.308994
997	3880.179116
998	3879.958689
999	3879.78199
